grid,velocity,T,D,X_NO,X_N2O,X_O2,X_H2,X_AR,X_H,X_O,X_OH,X_HO2,X_H2O,X_H2O2,X_NO2,X_NH3,X_HNO,X_N,X_N2H,X_NH2,X_NH,X_N2,X_H2NO
0,0.387852241,2003.15,1.11703567,5.61581879e-09,3.58444814e-09,0.102321575,0.51162891,0.00456290342,1.36534768e-05,5.74721881e-08,2.96458485e-07,6.14528391e-06,1.50614115e-08,3.2341781e-11,2.72615561e-11,5.18753985e-09,1.9557345e-12,2.52122305e-14,6.11435675e-11,6.66484294e-13,1.57623336e-13,0.381466429,5.29837221e-13
4.18060201e-05,0.387851243,2003.14563,1.11703854,6.98634786e-09,4.64754344e-09,0.102320122,0.511628004,0.00456290513,1.43375686e-05,6.66620939e-08,3.44603875e-07,7.61403605e-06,1.78335205e-08,4.0116015e-11,3.45966069e-11,6.21451937e-09,2.42512854e-12,2.96856539e-14,7.63476391e-11,7.70294021e-13,1.81513279e-13,0.38146657,6.57715105e-13
8.36120401e-05,0.387850225,2003.14114,1.11704147,8.52851276e-09,5.62148842e-09,0.102318694,0.511627088,0.00456290677,1.50329751e-05,7.66361716e-08,3.98315684e-07,9.05387275e-06,2.10837829e-08,4.94436686e-11,4.68750177e-11,7.36126954e-09,2.9744378e-12,3.41900248e-14,8.87222481e-11,9.60542281e-13,2.25006975e-13,0.381466707,7.85159143e-13
0.00016722408,0.387848138,2003.13182,1.11704748,1.21567252e-08,7.34812357e-09,0.102315906,0.511625232,0.00456290991,1.6454717e-05,9.88482322e-08,5.23529297e-07,1.18507273e-05,2.92474199e-08,7.34828695e-11,7.91405141e-11,1.00255646e-08,4.27433825e-12,4.42377948e-14,1.12789565e-10,1.4351464e-12,3.15248643e-13,0.381466965,1.06608984e-12
0.00025083612,0.387845996,2003.12214,1.11705365,1.64827874e-08,8.86319782e-09,0.102313191,0.511623344,0.00456291288,1.79096564e-05,1.23683142e-07,6.73543259e-07,1.45568926e-05,4.01033513e-08,1.05896807e-10,1.20892824e-10,1.31659052e-08,5.839324e-12,5.55042168e-14,1.3610955e-10,2.05238539e-12,4.10619105e-13,0.381467209,1.39648607e-12
0.000334448161,0.387843809,2003.11217,1.11705995,2.15360684e-08,1.02029789e-08,0.10231054,0.511621425,0.00456291572,1.93915607e-05,1.50969103e-07,8.51119939e-07,1.71814715e-05,5.44292623e-08,1.48774833e-10,1.72434736e-10,1.67971109e-08,7.68650487e-12,6.79212062e-14,1.58755601e-10,2.83922623e-12,5.10863315e-13,0.381467441,1.78517186e-12
0.000418060201,0.387841587,2003.10197,1.11706635,2.73435056e-08,1.13941498e-08,0.102307943,0.511619474,0.00456291845,2.08949637e-05,1.80565105e-07,1.05921973e-06,1.97320893e-05,7.31840155e-08,2.04542442e-10,2.33993033e-10,2.09320802e-08,9.83244087e-12,8.14327757e-14,1.80789127e-10,3.82530479e-12,6.15670268e-13,0.381467664,2.23905986e-12
0.000501672241,0.387839336,2003.09159,1.11707283,3.3929869e-08,1.24579447e-08,0.102305394,0.511617492,0.00456292111,2.24150802e-05,2.12354023e-07,1.30096857e-06,2.22150931e-05,9.75378134e-08,2.75994447e-10,3.05736315e-10,2.55819015e-08,1.22932181e-11,9.59934862e-14,2.02261176e-10,5.04314562e-12,7.24760878e-13,0.381467879,2.76511396e-12
0.000585284281,0.387837067,2003.08109,1.11707937,4.13180681e-08,1.34119257e-08,0.102302884,0.511615478,0.00456292371,2.39477343e-05,2.46237414e-07,1.57962264e-06,2.46357279e-05,1.28904933e-07,3.66329735e-10,3.87794156e-10,3.07559902e-08,1.50845103e-11,1.11567038e-13,2.23213867e-10,6.52838299e-12,8.37921174e-13,0.381468089,3.37089548e-12
0.000668896321,0.387834786,2003.07053,1.11708594,4.95294364e-08,1.42708496e-08,0.102300408,0.511613431,0.00456292629,2.5489299e-05,2.82131308e-07,1.89853041e-06,2.69982909e-05,1.6897884e-07,4.79182224e-10,4.80269021e-10,3.64621982e-08,1.82215903e-11,1.28121876e-13,2.43681659e-10,8.31997228e-12,9.54999091e-13,0.381468296,4.06386231e-12
