grid,velocity,T,D,X_N2,X_H2,X_H,X_O2,X_O,X_H2O,X_OH,X_H2O2,X_HO2,X_NO,X_N2O,X_N,X_NH,X_NNH,X_NH2
0,3.8368081,603.15,2.61661741,0.255189153,0.676356406,5.18534611e-18,0.0684544411,-6.45906757e-17,-2.78171649e-19,1.75277172e-20,-7.19139034e-19,1.43288223e-16,-1.00256777e-20,-3.76526502e-19,-1.00298692e-19,1.92341643e-20,1.25541269e-20,1.30883602e-18
0.0002,3.8368081,603.15,2.61661741,0.255189153,0.676356406,-3.03864518e-21,0.0684544411,-1.08234698e-18,-1.67999329e-17,-6.04853512e-20,-1.12796823e-18,2.64041797e-16,-1.59379361e-18,-7.1062638e-19,-3.13170808e-20,-3.18552382e-20,-8.19369261e-24,5.96820912e-19
0.0004,3.83680811,603.15,2.61661741,0.255189153,0.676356406,4.03982886e-20,0.0684544411,-2.34070319e-19,2.82098267e-15,-2.56598308e-20,-3.85889255e-18,4.71979556e-16,-1.45754673e-17,-3.93711451e-18,-3.35924007e-19,-4.17654796e-19,-1.20059985e-22,-4.4996235e-18
0.00045,3.83680811,603.150002,2.6166174,0.255189153,0.676356406,6.16644621e-19,0.0684544411,2.56898295e-18,2.87137682e-14,2.97795748e-19,2.24753502e-17,8.8654731e-16,3.23744001e-17,8.59706245e-18,3.84839243e-18,4.79547188e-18,1.56454741e-21,1.86803125e-17
0.0005,3.83680819,603.150013,2.61661735,0.255189153,0.676356405,-4.13724628e-19,0.0684544411,-2.30359001e-18,4.16356033e-13,-2.7247354e-19,2.02884788e-16,3.38391123e-15,-1.83763253e-17,-5.75857984e-18,-3.3212269e-18,-4.14296434e-18,-1.54860147e-21,-1.02765166e-17
0.00055,3.83680884,603.15012,2.61661691,0.255189156,0.676356403,-1.36527806e-18,0.0684544418,-6.93343389e-18,6.24278603e-12,-8.07825711e-19,3.72403366e-15,5.05245801e-14,-1.2381668e-16,-3.46017295e-17,-1.03642409e-17,-1.26492258e-17,-4.3853116e-21,-5.65533641e-17
0.000575,3.83681116,603.150502,2.61661533,0.255189164,0.676356391,5.18539239e-18,0.0684544442,2.19936416e-17,3.98051297e-11,2.69367596e-18,2.81317206e-14,3.75322729e-13,6.31995612e-17,2.90151694e-17,3.03539186e-17,3.66586245e-17,1.73495962e-20,5.17758088e-17
0.0006,3.83682295,603.15245,2.61660729,0.255189213,0.676356329,-4.75966175e-18,0.0684544579,-1.95747504e-17,3.08752369e-10,-2.48675915e-18,2.58212568e-13,3.42497688e-12,-1.40429257e-16,-4.4111332e-17,-2.60083553e-17,-3.15197854e-17,-1.74913863e-20,-8.11972548e-17
0.0006125,3.83684683,603.156414,2.616591,0.255189321,0.67635619,-4.37014997e-18,0.068454488,-1.98320529e-17,1.1505687e-09,-2.42330865e-18,1.10345952e-12,1.45815136e-11,-2.10313085e-16,-6.45093987e-17,-2.987834e-17,-3.56051176e-17,-1.48544866e-20,-1.0773719e-16
0.000625,3.83691933,603.168495,2.61654156,0.255189672,0.676355737,6.95705067e-18,0.0684545863,3.12138134e-17,4.94436184e-09,3.37757647e-18,5.52408835e-12,7.27043248e-11,-1.16532051e-16,-1.96105235e-17,1.72036319e-17,1.98542071e-17,2.53087144e-20,-2.66701539e-17
0.00063125,3.83701087,603.183811,2.61647914,0.255190147,0.676355122,9.78009433e-18,0.0684547188,1.08150281e-16,1.18300006e-08,5.91740429e-18,1.47460216e-11,1.93514995e-10,-9.07225861e-17,-1.89080045e-17,1.16189365e-17,1.52357835e-17,-1.38739623e-20,-1.4139391e-17
0.0006375,3.83719546,603.214807,2.61635327,0.255191159,0.676353808,7.10504134e-17,0.068455001,6.21935991e-16,3.07877502e-08,3.97709952e-17,4.34703709e-11,5.68592821e-10,1.40120354e-18,2.4194022e-17,4.80599659e-17,5.57872354e-17,5.51033721e-20,5.54265944e-17
0.00064375,3.83756761,603.277532,2.61609954,0.255193315,0.676350999,3.46654285e-16,0.0684556006,3.37162355e-15,8.29802728e-08,1.98589922e-16,1.32936371e-10,1.73303367e-09,1.55977637e-17,2.04660648e-17,2.76433605e-17,3.12798872e-17,4.22808458e-20,5.76772429e-17
0.000646875,3.83789543,603.332971,2.61587609,0.255195304,0.676348397,9.71536795e-16,0.0684561521,9.62450063e-15,1.43385009e-07,5.48755067e-16,2.48608766e-10,3.23414879e-09,-3.69298701e-17,-3.15090407e-17,-3.20448392e-17,-3.15409288e-17,-2.94167056e-19,1.28631859e-17
0.00065,3.83838966,603.416777,2.61553927,0.25519841,0.676344316,2.8584935e-15,0.0684570106,2.71568072e-14,2.56724932e-07,1.59949395e-15,4.865597e-10,6.31452292e-09,8.69980441e-17,6.31518076e-17,6.72201576e-17,7.22234202e-17,3.71496119e-19,1.52613227e-16
0.000653125,3.83913467,603.543459,2.61503171,0.255203256,0.676337916,7.88911302e-15,0.0684583444,7.55365578e-14,4.69370885e-07,4.40210642e-15,9.76009732e-10,1.26351158e-08,3.35197413e-17,1.0808563e-17,-8.64394358e-18,-1.19677769e-17,-1.54868301e-19,1.16356249e-16
0.00065625,3.84025754,603.734937,2.61426709,0.255210808,0.676327885,2.22549543e-14,0.0684604113,2.10399279e-13,8.68280378e-07,1.22837445e-14,1.98264908e-09,2.56027284e-08,4.17917739e-17,3.06552901e-18,-3.50031495e-17,-4.22157342e-17,-1.20771084e-19,1.6874219e-16
0.000659375,3.84194959,604.024311,2.61311572,0.255222556,0.676312168,6.36716481e-14,0.0684636034,5.86209112e-13,1.61645961e-06,3.43111216e-14,4.05256638e-09,5.22028687e-08,1.69160938e-16,7.37925203e-17,-2.28549709e-18,-1.20095085e-17,9.83105241e-19,3.46697571e-16
0.0006609375,3.8431171,604.224454,2.61232188,0.255230866,0.676300973,1.1532736e-13,0.0684658435,1.02587171e-12,2.2360906e-06,5.99798358e-14,5.90703938e-09,7.59854578e-08,1.38017174e-17,-1.27745191e-16,-2.47917606e-16,-2.61816661e-16,-2.86938654e-18,2.10104342e-16
0.0006625,3.8445802,604.475715,2.61132773,0.255241462,0.676286612,2.11086212e-13,0.0684686784,1.80001283e-12,3.12672903e-06,1.05555345e-13,8.74005762e-09,1.12259464e-07,3.39182837e-16,6.65536749e-17,-7.97191572e-17,-8.00459015e-17,5.6194547e-19,5.55732041e-16
0.0006640625,3.84641355,604.791117,2.61008307,0.255254959,0.676268197,3.9498302e-13,0.0684722571,3.16154926e-12,4.40669766e-06,1.85823013e-13,1.30671947e-08,1.67577556e-07,7.44421887e-16,2.82527086e-16,4.64432597e-17,5.39187078e-17,1.11547513e-18,9.14994828e-16
0.000665625,3.84871054,605.18698,2.60852532,0.255272132,0.676244589,7.67468856e-13,0.0684767614,5.55677161e-12,6.24581291e-06,3.27540229e-13,1.96749107e-08,2.51922303e-07,1.15735587e-15,4.37663201e-16,2.39418007e-17,3.30690352e-17,1.25085046e-19,1.19533516e-15
0.0006671875,3.85158797,605.683751,2.60657655,0.255293956,0.676214336,1.575777e-12,0.0684824101,9.77299348e-12,8.8876615e-06,5.78646557e-13,2.97621195e-08,3.80494742e-07,1.76569858e-15,6.7255898e-16,-2.85609944e-17,-1.56024861e-17,-1.46511318e-18,1.55016064e-15
0.00066875,3.85519179,606.307023,2.60413993,0.255321649,0.676175585,3.47470667e-12,0.0684894634,1.72004963e-11,1.26814082e-05,1.02593743e-12,4.51549602e-08,5.76429386e-07,2.97416916e-15,1.33247002e-15,1.66654113e-16,1.892654e-16,2.93306811e-18,2.29822112e-15
0.0006703125,3.8597043,607.08881,2.60109534,0.255356731,0.676125974,8.30050437e-12,0.068498224,3.02972774e-11,1.81271278e-05,1.8291568e-12,6.86318086e-08,8.74909572e-07,4.26537348e-15,1.88578035e-15,-8.84252074e-17,-6.72901416e-17,-6.34193565e-18,2.76381881e-15
0.00067109375,3.86238685,607.55418,2.5992888,0.255377753,0.676095968,1.38230998e-11,0.0685033733,4.06079301e-11,2.17381313e-05,2.48025451e-12,8.49859946e-08,1.08266974e-06,5.62198238e-15,2.74616816e-15,1.90965058e-16,2.18426518e-16,9.00104747e-18,3.50457428e-15
0.000671875,3.86540699,608.078597,2.59725791,0.255401534,0.676061777,2.31784438e-11,0.0685091053,5.45592799e-11,2.6133472e-05,3.38599225e-12,1.05622613e-07,1.34469003e-06,6.90889847e-15,3.46314315e-15,1.04880054e-16,1.29969504e-16,2.33932932e-18,3.94740776e-15
0.00067265625,3.86880684,608.669483,2.59497548,0.255428416,0.676022827,3.93535476e-11,0.0685154673,7.34313941e-11,3.14824774e-05,4.663261e-12,1.3165567e-07,1.67507785e-06,8.43100851e-15,4.31028941e-15,-1.01391842e-16,-7.62757823e-17,-9.49012874e-18,4.36183678e-15
0.0006734375,3.87263371,609.335175,2.59241117,0.255458781,0.675978468,6.76577103e-11,0.0685225047,9.8961438e-11,3.79906478e-05,6.49942486e-12,1.64485424e-07,2.09157996e-06,1.08139922e-14,5.88586956e-15,1.00580308e-16,1.33314323e-16,2.0204043e-18,5.29903506e-15
