Material Inner,Material Outer,MAWP (Pa),Tank Volume (m^3),Tank Mass (kg),Mass Error (kg),Inner Tank Thickness (m),Outer Tank Thickness (m),Vacuum Gap (m),Inner Tank Length (m),Vh2 (m^3),R_in (m),CO2 (kg),Embodied Energy (MJ),Angle of winding inner,Angle of winding outer,P_vent,Qleak,Q_cond,Q_rad,dv_list,Outer Tank Length (m),Outer Tank Radius (m)
Al-7075-T6,Al-7075-T6,1200000,5.836826973602872,500.4778775390046,-335.3144081752812,0.0023123169872089557,0.001,0.07640782370960952,3.0922277126556814,4.5808444904124155,0.75,1936.956018456015,31289.6396976143,0,0,300000,78.2362007798517,43.397453297421585,34.438752549709015,"[0.07640780904878851, 0.07640782370960952]",3.2517279940493182,0.8297501406968184
Al-7075-T6,G10,1200000,5.836793050703273,485.30500480163096,-350.48728091265485,0.0023123169872089557,0.001,0.07640582268539083,3.0922277126556814,4.5808444904124155,0.75,1800.1138708973526,30020.412314398352,0,1.8,300000,78.2362007798517,43.39833426707351,34.438752549709015,"[0.07640318569499893, 0.07640582268539083]",3.2517239920008807,0.8297481396725997
Al-7075-T6,SS-304,1200000,5.836825523654181,587.8695354041827,-247.92275031010314,0.0023123169872089557,0.001,0.07640773818103078,3.0922277126556814,4.5808444904124155,0.75,1971.5227126373215,32023.292367920032,0,0,300000,78.2362007798517,43.39748415200293,34.438752549709015,"[0.076407611435847, 0.07640773818103078]",3.2517278229921605,0.8297500551682396
Al-7075-T6,Carbon Fibre UD (Prepreg),1200000,5.836822322522,479.5411575208842,-356.2511281934016,0.0023123169872089557,0.001,0.07640754935479457,3.0922277126556814,4.5808444904124155,0.75,2917.378092401313,45585.96782663602,0,52.6,300000,78.2362007798517,43.39757728084135,34.438752549709015,"[0.07640717515458717, 0.07640754935479457]",3.2517274453396885,0.8297498663420034
Al-7075-T6,SS-316,1200000,5.8368254690007015,588.1238265567637,-247.66845915752214,0.0023123169872089557,0.001,0.07640773495716856,3.0922277126556814,4.5808444904124155,0.75,2143.2045256711426,32979.959818275915,0,0,300000,78.2362007798517,43.397485349399446,34.438752549709015,"[0.07640760398714444, 0.07640773495716856]",3.2517278165444363,0.8297500519443775
G10,Al-7075-T6,1200000,5.823988584995385,471.1362099214532,-364.6560757928326,0.0016977092699636044,0.001,0.07626460685331359,3.0922277126556814,4.5808444904124155,0.75,1776.3191636039044,31383.420793840265,50.600000000000044,0,300000,78.2362007798517,43.439245352548554,34.39696050989694,"[0.07626459905583728, 0.07626460685331359]",3.250212344902236,0.8289923161232772
G10,G10,1200000,5.823954708894046,455.98426043525785,-379.80802527902796,0.0016977092699636044,0.001,0.07626260583019652,3.0922277126556814,4.5808444904124155,0.75,1639.6657202622155,30115.943660505916,50.600000000000044,47.5,300000,78.2362007798517,43.44012901263504,34.39696050989694,"[0.07626120332652844, 0.07626260583019652]",3.2502083428560016,0.8289903151001601
G10,SS-304,1200000,5.823987137046968,558.4073549669522,-277.3849307473336,0.0016977092699636044,0.001,0.07626452132478206,3.0922277126556814,4.5808444904124155,0.75,1810.8381903816833,32116.061758885935,50.600000000000044,0,300000,78.2362007798517,43.43927630901943,34.39696050989694,"[0.07626445391433173, 0.07626452132478206]",3.250212173845173,0.8289922305947457
G10,Carbon Fibre UD (Prepreg),1200000,5.8239839403308995,450.2283615600769,-385.5639241542089,0.0016977092699636044,0.001,0.07626433249864994,3.0922277126556814,4.5808444904124155,0.75,2755.38923827733,45660.03432687424,50.600000000000044,5.7,300000,78.2362007798517,43.439369710997745,34.39696050989694,"[0.07626413347725898, 0.07626433249864994]",3.2502117961929082,0.8289920417686135
G10,SS-316,1200000,5.823987082468884,558.6612954522514,-277.13099026203446,0.0016977092699636044,0.001,0.07626451810092165,3.0922277126556814,4.5808444904124155,0.75,1982.2832547470282,33071.40996788633,50.600000000000044,0,300000,78.2362007798517,43.4392775103228,34.39696050989694,"[0.07626444844345584, 0.07626451810092165]",3.250212167397452,0.8289922273708852
SS-304,Al-7075-T6,1200000,5.881328463395328,921.6215863865722,85.82930067228637,0.004445036538518186,0.001,0.07689388127194793,3.0922277126556814,4.5808444904124155,0.75,2749.0899156581786,43340.55102857689,0,0,300000,78.2362007798517,43.252259562350645,34.58394623199114,"[0.07689384283392446, 0.07689388127194793]",3.2569655482766136,0.8323689178104661
SS-304,G10,1200000,5.881294378554793,906.3763107474939,70.58402503320809,0.004445036538518186,0.001,0.07689188024393798,3.0922277126556814,4.5808444904124155,0.75,2611.594775274965,42065.26707371163,0,47.5,300000,78.2362007798517,43.253131259301014,34.58394623199114,"[0.0768849665141987, 0.07689188024393798]",3.2569615462205936,0.8323669167824561
